Title,Year,Plot
Shinsengumi,(2000),"Produced for Fuji TV in 2000, the film reinterprets the story of a special samurai force - the Shinsengumi - at the end of the Edo period."
Resistor,(2021),An aging detective must find a missing girl and return her to the Company overlords that rule over the world of the future if he is ever to see his family again.
Binh Ngo Dai Chien,(2020),"This is a story about the historic battle Tot Dong - Chuc Dong, between Lam Son rebels led by Le Loi and Ming Empire army led by Wang Tong in 1426. 1407, Emperor Ho Quy Ly and his sons were... "
Mak Dau dong dong poon ngo sum,(2012),"The principal of the kindergarten put a lot of effort into teaching music to the kids because it was ""free"". The was of importance because the kindergarten was under the threat to be shut ... "
Shimajirou the Movie: Great Adventure on Magic Island,(2018),"Shimajiro and his friends meets a fairy named Pokapom and helps get home to Magic Island, there they meet a witch named Aura who's trying to bring spring back to life."
East End,(2016),"LEO, LEX AND THEIR FRIENDS TAKE CONTROL OF AN AMERICAN MILITARY SATELLITE, BUT THEY POINT IT TO THE OLIMPIC STADIUM TO WATCH THE MATCH BETWEEN ROMA AND LAZIO , PUTTING IN SERIOUS RISK ALL ... "
Ashoka the Hero,(2011),A young boy finds ancient powers and must use them to save mankind while managing his life as a school going 8 year old boy.
2019 Oscar Nominated Short Films: Animation,(2019),"Animated Short: ""Animal Behaviour,"" Alison Snowden, David Fine ""Bao,"" Domee Shi ""Late Afternoon,"" Louise Bagnall ""One Small Step,"" Andrew Chesworth, Bobby Pontillas ""Weekends,"" Trevor Jimenez"
Megasónicos,(1997),A space galaxy is ruled by a tyrant whose power can only be overcome with a very weapon: music.
Mach a Sebestová k tabuli!,(1985),Edited full-length picture about the most famous Czech third-year pupils. It is composed from the original seven episodes of the series that became very popular among both children and ... 
Flaming Nipples,(2008),Put your head in the flaming routine of Flaming Nipples : A lust of life in conflict with the discovery of eternal love.
Gekijô ban Tottoko Hamutarô: Hamu hamu hamu~jya! Maboroshi no prinsesu,(2002),"Hamtaro has been having a recurring dream where a beautiful princess hamster asks for help and he can't forget about her, even when he's awake. One day, Laura tells him that everyone in the... "
Kanye: Get Out the Animated Movie,(2020),"An innocent young black hip hop mogul meets his new girlfriend's twisted, wacky, white family for the first time. The family's weird behavior leads the young mogul on a mission to get to the bottom of the family's dark secrets."
Happiness Machine,(2019),"The Happiness Machine is a cinematic performance comprised of animated films, musical compositions and testimonials. Ten women filmmakers, ten women composers and ten musicians present Christian Felber's Common Good Economy for discussion."
A Frozen Christmas 2,(2017),This Christmas you're invited to Santa's party of the century! Spend some time with Santa and his pals!
The AppleMauf Christmas Movie,(2021),"Michelle(MeShellTiel), a glue-like figure to her group of friends, realizes everyone hasn't seen each other for over 10 months. She decides to invite everyone to a late holiday party, ... "
Monsters of the Id,(2007),"Nathan becomes a super hero style of character in people's dreams to rescue them from their nightmares, only to realize he's not the only one. Not only that, but he has been manipulated to ... "
Fimfárum 2,(2006),"The film include the story of little Tom Thumb, The Hunchbacks of Damascus, Three Sisters and One Ring, The Sea, Uncle, Why is it Salty?"
"Sleep tight my baby, cradled in the sky",(2014),Newborn Orine is orphaned in a tragic accident driving home from hospital. Nineteen years later Orine is on the run from the police when government agent Yuri offers an escape: a secretive ... 
Chokorêto andâguraundo,(2008),"When chocolate is banned, two friends start a bootlegging operation."
Bee Team 2,(2019),"Rejoin the forest's tiniest adventurers, Zip and Zap, along with their always watchful Queen Eleanor and her right hand bee, Sabastian, as they prove once again that there's no team like ... "
Balgar: The Movie,(2014),Balgar is a peculiar subculture phenomenon that in less than five years managed to become a favorite of thousands of teenagers. And now come down from the computer to conquer the big screen. The first Bulgarian full-length animated film.
The Stressful Adventures of Boxhead & Roundhead,(2014),"After their home is destroyed, Boxhead & Roundhead must head to the big city to battle red tape, rent, rats and the rat race to get it back. Art and industry, friendship and foul play are ... "
Crash Bandicoot: The Crystal Crisis,(2021),"After discovering a nefarious scheme devised by Cortex and his minions to blast the whole earth with a crystallization beam, Crash and his team must work together to defeat the evil scheme within a tight time frame."
Clear Skies 2,(2009),"Once again, the crew of Clear Skies find themselves embroiled in Smith's machinations as a rescue mission turns into a race against time for JR, Sol and Charlie."
Janked,(2011),"An anthology film about a con artist, a desperate couple and a loan shark intertwining in three tales of greed, violence, and Hitchockian twists."
Resurgence Federal Agent 8,(2018),"After being shot by the Reticulum criminals, Touch using previously unknown powers, is miraculously restored to life. While regaining superior strength due a rare blood disorder, Touch sets out on a mission of focused revenge."
Shipwrecked Adventures of Donkey Ollie,(2007),A young donkey goes to the rescue of his master Elizabeth and Jehu when they are captured by a roving band of Samaritans.
Shi wan ge leng xiao hua II,(2017),"Gods from Ease, West and North send delegates to seize truncheon from Southern God to prevent wars out bursting through the whole galaxy."
Bird Idol,(2010),The story revolves around a bird called 'Hummi' who is not happy with the bird music and is greatly impressed by human music and how he introduces human music to the bird music by entering ... 
New Comic Day,(2016),On Jake's first day of work at the comic book store he finds out that he has entered a strange new world where anything is possible.
Veer Yodha Prithviraj Chauhan,(2008),The story of the great king who ruled a kingdom in northern India during the latter half of the 12th century.
Easter Dance: The Best Party in Town,(2021),It's Easter and all the inhabitants of Sunnyville are celebrating. Teddy the cuddly bear and his pal Cuddles the adorable unicorn are looking for the best party in town.
Frost: War of the Ashics,(2021),"An alien war was raging. The Ashics were harvesting aliens from other planets across the galaxies and they could not be stopped. Then, they attacked Frost. The battle was too much for the ... "
Skyscrapers,(2017),"Little by little two buildings rise in the sky; two billionaires helped by the most renowned architects in the world, both build his own skyscraper, always more luxurious and higher. But how high will they go ?"
Piconzé,(1973),"When his girlfriend Maria is kidnapped, young Piconzé and his animal friends go on an adventure to rescue her. In their journey, they meet legendary beings of Brazilian folklore, dragons, dinosaurs and some very peculiar people."
The Big Adventures of Lil' Slick,(2021),"For Lil' Slick, a 10 year old fun loving kid and his best friend Stone, every single day is filled with adventure, from sunrise to sunset there is always something exciting happening. While... "
Easter in Bunnyland,(2000),"Flip Rabbit, and his friends Buck and Bitsy Bunny, are looking forward to Easter when they discover that their good friend the Easter Bunny has been kidnapped, and without him there can be ... "
Minky Momo: The Fairy Princess of Dreamland,(2015),"Minky Momo, a princess from a magical world is sent to Earth to help people recover their lost hopes and dreams. Using her magic, and with the help of her magical dog, monkey and bird, ... "
Misiunea spatialã Delta,(1984),"The year is 3084, man settled interplanetary space, but space is still full of secrets - On a research mission to a newly discovered Galaxy heads the most advanced spaceship, Delta, ... "
Grim Hollow,(2021),"Mulberry Jones was a Highway-Hare of low moral disposition, who stole from the rich, the poor and even the dead. He believed that helping himself was far more important than helping any ... "
Micropolis,(2011),"Micropolis is a theme park. It's the kingdom of the Mongoose. Their idyllic lives are threatened when Rascal, the leader of the shrews, decides to eradicate the mongoose population and to take control of the city."
Hôtel,(2012),"Peace reigns between Terrorists and Policemen, in a secluded and strange Hotel. Useless for the first time, they fight against boredom while the world around them slowly crumbles."
Protection,(2018),"Made collaboratively with children from public housing areas in the Illawarra Australia, 'Protection' uses a unique blend of film and animation to tell stories about childhood - inspired by... "
Otis and Lewis: Mysteries of the Pyramids,(2021),Monkey explorers Otis and Lewis are back and ready to solve another one of history's greatest mysteries. This time around Otis and Lewis are on a mission to learn all about the mysterious ... 
Macross FB 7: Ore no Uta o Kike!,(2012),"Macross Frontier characters receive vintage VHS tapes delivered by a strange bird with the original Macross 7 episodes and watch them together, discovering the story behind the Sound Force and Nekki Basara."
Oshare majo Rabu and Berî: Shiawase no mahou,(2007),"A movie based on the popular fashion card and arcade dance game aimed at young girls. The magical Princesses Love and Berry are best friends and possess Fashion Magic, but they become rivals for attention when they're on the dance floor."
Finder no Seki Tsubasa,(2015),"Takara Akihito left dangers of the Underworld behind, but soon finds himself reunited with the mysterious and powerful crime lord Asami, and he is thrust into the world of decadence and bloodshed."
Pets: Top 10 Pets,(2021),"Woof. Everyone's favorite couch potato pets, Bella the cat, Bagel the pooch, and Alvin the mouthy parrot break it down yet again from the comfort of their couch with an all out winged, ... "
Casa: Perros vs. Aliens,(2020),"Casa, a 12 year old dog kid, must join a rebel alien named Joe to stop the destruction of planet Earth."
The Melody of String Tree,(2020),"""The Melody of String Tree"" is a film-dilogy about the journey of the poet Velimir Khlebnikov and his 'ka' (double). In Ancient Egyptian mythology, ka is a vital essence in the shape of a ... "
Cloud Air: The Movie,(2013),Touching story of a cloud and his family meeting air for the first time.
"The Tale of Soldier Fedot, The Daring Fellow",(2008),The king decided to bring archer to a nervous breakdown because he in love with archer's wife.
Kung Fu Dragon,(2019),A chosen boy with magical powers is helped by a dragon in his quest to defeat the evil demon Nian.
Pangaa Gang,(2010),"The movie is set in modern times, in a beautiful place called Shantivan. The story follows the adventures of four kids with extraordinary powers as they set out to defend their homeland ... "
Pia kyarotto e yôkoso!!,(2002),"High schoolers Sayaka Takai and Akihiko Kannazuki work together at a restaurant chain ""Pia Carrot."" Both are interested in each other, but before either could make a move Sayaka was ... "
The Forevers,(2020),A group of brave superheroes has to come together to save the multiverse from evil terrorist birds.
Il flauto magico,(1978),"The Queen of the Night persuades Prince Tamino to rescue her daughter Pamina from captivity under the high priest Sarastro; instead, he learns the high ideals of Sarastro's community and seeks to join it."
Megillas Lester,(2014),"Lester, or Doniel Lesterovirch, is the everyman of Jewish elementary school age kids. He's not looking for trouble but trouble sure finds him - a whole lot of it. While directing his ... "
Gong tau,(1989),This movie is about oriental black magic(voodoo).
LeSeurdmin,(2017),"A man becomes an unwitting superhero after a drunken night leads him on a quest to save his love, his life, and his species from a murderous barbecue enthusiast."
Mondo Plympton,(1997),"A compilation of animator Bill Plympton's classic shorts, including ""Your Face"", ""How to Kiss"", ""One of Those Days"", ""25 Ways to Quit Smoking"", ""Plymptoons"", ""Nosehair"" and ""How to Make ... "
Jigoku Sensei Nube: Gozen 0 toki Nube Shisu,(1997),"Nube gets a new student called Jun Kagami, a shy boy who has just transferred to Doumori Elementary School. Due to his insecurities, Jun believes that his only friend is a mysterious clown ... "
Cykelmyggen og minibillen,(2014),"The mini beetle Mini appears in a flea circus together with Egon and Dagmar. The flea-girl Miranda bullies Mini and tricks him into interfering in Dagmar's line dancing, making her fall and... "
Thomas & Friends: Pop Goes Thomas,(2011),Thomas is bubbling with excitement as he delivers special cargo to the picnic extravaganza! His friend Percy joins in on the fun for a game of Hide and Seek and Emily goes full steam ahead ... 
Super 4: Gunpowder Island Adventures,(2017),"Join Ruby and friends on four fun-filled pirate adventures: Countdown Repeat, Negative, All That Glitters, and The Honor of the Pirate. Inspired by the world of Playmobil® toys, embark on a... "
Wolfskin: Sister of the Wolf Spirits,(2013),"Rain pours down on a seemingly deserted city surrounded by thorns. Wolf gargoyles line the towers. Imprisoned in one of the towers a young woman, Veronique, locked away by her evil step ... "
McDull: Rise of the Rice Cooker,(2016),"When a creature from outer space threatens Earth, young McDull builds a robot to defend all humanity."
Skopje Remixed,(2012),An omnibus of ten short films by ten young directors.
Gooby Pls,(2012),Dolan and Gooby involve themselves in a number of corrupt adventures.
Grey Island,(2017),A young gas miner seeks the aid of an inter-dimensional shaman in saving her terminally ill sister.
Dolcezza Extrema,(2015),"In an unspecified year in the future, the Captain Pixws and his space pirate crew are forced to deliver tanning showers to every corner of the universe. Dolcezza Extrema starship will live an extraordinary adventure."
"Ahmed, el principe de la Alhambra",(1998),"It is springtime for everyone, however Prince Ahmed, a fine young boy living in the most wonderful palace existing, does not rejoice over it. On the contrary, he drags along languidly from ... "
La isla del cangrejo,(2000),"Pirate Dimitri, together with his crew, will face some dangerous slave traders to rescue a beautiful lady and find a great treasure."
De tand des tijds,(2019),"Nobody likes the history lessons of master Menno, but when he finds a magical talisman, he throws his pupils in an adventure of all times."
Kolobok,(2000),"In this modern version of an ancient Russian folk tale, a humble bun runs away from its makers to avoid being eaten. The little round loaf tumbles through the hands of a host of hungry ... "
Blizkata dalechina,(1981),"An alien arrives on the planet Earth with a special mission. He must steal and send canned food to his home planet, because it is very scarce there. The alien is confronted with the ... "
Broken Trust,(2019),"A lawyer falls in love with his neighbor's sister, he has a chance to prove his love by helping her when she has been arrested for robbery. As she is free she invites Milton for a drink and tell him that she was in love with him"
The Adventures of Fujiwara Manchester Movie,(2018),Fujiwara Manchester is a space adventurer living in XXVII century who need to fight with a terrible enemy and with the government for a power jewel that could lead to the destruction of the galaxy.
A Frozen Christmas 3,(2018),"A Frozen Christmas 3: Party Time! will delightfully traumatize your entire family! From creepy, broken-jawed moose with barely audible voices, to Santa's creepy, toothy face doing poorly animated fortnite dances to the ABC's, this Christmas classic brings the feelings of the disturbing children's nursery rhyme YouTube channels right to your TV!"
"Pupi Avati, ieri, oggi, domani",(2010),"Based upon Avati's biography 'Sotto le stelle di un film', this documentary traces the story of the Italian director."
Gekijouban Hayate No Gotoku! Heaven Is a Place on Earth,(2011),"Hayate, Nagi and the gang spend the last days of summer break at Nishizawa's countryside vacation home. But a mysterious spirit has concocted a scheme to separate the butler from his young mistress."
Piñatas: The Movie,(2006),Piñatas hit each other with political strife and corruption in this animated film about the real life of the candy-filled entertainers.
The Faith Kids: The Image,(2016),"The Faith Kids in this action thriller must defeat him before he executes his evil plans. On their journey to defeat darkness Faith Kids uncover the truth about themselves, God's word, and ... "
Sin dejar rastros,(1918),The true incident of the German U-Boat which torpedoed an Argentine ship to make Argentina declare war on the Allies.
Mondscheinkinder,(2006),"Paul wants to become an astronaut. It is his favorite game. Pauls older sister, Lisa is playing his assistant in the spaceship. Lisa meets Simon and he also joins in but when Paul's physical conditions worsen, the game needs to favor Paul."
Chak De Mighty Raju,(2013),"There is a cricket match in Aryanagar and everyone is having fun, including Raju and friends. Trouble is not far behind as some goons have planned to kidnap the minister."
Dixie Dynamite,(2009),"The sleepy town of Westabooga, Alabama, is turned on its head when Dirk, a mysterious man carrying a didgeridoo, passes through late one night. The townsfolk, obsessed with all things ... "
Johny Johny Yes Papa Nursery Rhymes Collection,(2016),Johny ate candies and lied to his papa. He got caught lying when he opened his mouth with full of candies.
Dracula's Angel,(2014),Laura Randolph is on a quest to find her true love: Dracula.
Hopz and the Easter Mystery,(2021),"Easter is just around the corner and Hops the Easter Bunny is on a mission to solve the greatest Easter mystery ever: what came first, the chicken or the egg? As Hops and her best friend ... "
The Memory Jar,(2003),A film based on a feature length screenplay about a kingdom where the dying King's twin sons battle for control of their kingdom by playing a mystical game of chess that controls the entire universe.
La plante humaine,(1996),"-This first feature film by filmmaker Pierre Hébert offers a pertinent reflection on the cult of images through the adventures of Mr. Michel. Widowed and recently retired, he leads a ... "
Easter Dance: Chocolate Egg Hunt Party,(2021),It's Easter and all the inhabitants of Sunnyville are celebrating. Besties Hopz the Easter bunny and his buddy Lil' Bit the Easter chick are searching for the best chocolate Easter eggs treats ever. Where will their adventures take them?
Pintakasi,(2011),"DJ has a tremendous passion for painting and when his parents die, he moves to a shanty town made of garbage. DJ uses the island as his personal canvas and teaches its residents how to dream."
Madeline in Tahiti,(2007),"Madeline and the girls take an ocean liner to Tahiti, where they learn to surf, snorkel and take part in native dances, while foiling a villain's evil plan to reactivate the Tahiti-nui ... "
Spies in the Hood,(2016),A scientist with government connections pairs up with a famous spy and two young rookie spies in training to thwart an evil villain with a robotic hand from using his robots as weapons to dominate the world.
"The Wogglebug, and Sylvie, and the Enchanted Forest",(2016),"When young Sylvie Harnois gets sucked through a magical portal, it's up to her and Mr. Wogglebug to save the enchanted forest and find a way home."
Santa Company,(2019),"A young girl joins the Santa Company, a company that delivers presents to children around the world."
"Priklyucheniya volshebnogo globusa, ili prodelki vedmy",(1991),"Animation film consists of four small stories. No Trouble, Boy from Naples, Cinderella and Hazelnut Twig."
"Robin Hood III, Forever Enemies",(2006),"Join Robin Hood on another adventure in this high quality animated feature for your kids and family. This time, Robin escapes the Sherwood forest fire and must confront the evil Baron and Count John."
Nurses Do It Better: Computer-Animated,(2021),"The real story of a cruel insurrection against fair treatment. ER doctors refuse to treat actual mental illness, and blow clients off calling them ""junkies,"" because they look different. John is mangled by the U.S. health-care system."
Bug Smarts,(2019),"They may have small brains, but these tiny critters have major bug smarts. Join the Brainy Bubbly Bug Buddy gang as they learn about friendship, kindness and love in this incredible series with fun for everyone."
Twinkle Twinkle Little Star & More Kids Songs (Bob the Train),(2019),"Do you kids know Twinkle Twinkle Little Star? Learn this classic nursery rhyme with your friend Bob The Train, plus many other fun songs and dances."
Property Damage,(2020),"Caillou and Dora move in together, and throw a party to celebrate their newfound freedom. But after the party goes sour, they are stuck cleaning up the pieces. This brings out differences and insecurities that threaten to end their relationship. Meanwhile, Boris gets caught up in the pressure of fame, and Zunga goes on a quest to save Rosie from her kidnapper with an unlikely friend."
Chronicles of Humanity: Descent,(2011),"Set in the year 2340, the film follows Katherine McDonald, journalist and the only person to survive the destruction of a mining colony. Convinced the government was behind the disaster, she embarks on a mission to uncover the conspiracy."
Inspektor Martin i banda puzeva,(2012),"Famous inspector Martin looses his secret package in a strange plane accident over a small meadow. In his quest, he encounters many colorful characters."
The Oscar Nominated Short Films 2009: Animation,(2009),Collective screening of the Academy Award nominated short films from the Animation category for 2009.
Hay Bin Yeksan,(1992),Story of a child in no-man's land.
A Dragon Christmas,(2020),Boil the Wee Dragon hatched at the North Pole and was raised by Santa himself. Fast forward to the present day and Boil can't seem to fit in with the other dragons of the Wee Kingdom. ... 
God's Faithful Servant: Barla,(2011),"Having been one of the most eminent scholars of the recent past, Bediuzzaman Said Nursi's Barla life."
Ka-i: Geo-wool ho-su-eui jeon-seol,(2016),"After narrowly escaping a horrific avalanche, Kai searches for her missing brother, Shamui. To find him, Kai must cross the dangerous ice lake ruled by Snow Queen Hattan."
The Pettifogger,(2011),"The Pettifogger follows a year in the life of a minor con man whose life is falling apart in the early 1960s. It has a loose narrative, which illustrates the Pettifogger's greed, his calculating nature, and his love of gambling with cards."
Dr. Sun,(2020),"Revolving around the First Guangzhou Uprising, Sun Yat-sen's detainment in London, the Second Guangzhou Uprising and the Wuchang Uprising, this work interweaves one man's regret of causing ... "
Bug Smarts 3,(2019),"Get ready for laughter and adventures from your favorite bugs, who are always excited to learn a new lesson or make friends wherever they go."
Danguard Ace,(2010),"Evil scientist Doppler will stop at nothing to destroy the giant transforming robot Danguard Ace, so he can conquer a new planet."
Best Bug Buddies,(2019),Join the Best Bug Buddies for a bug-tastic adventure. Get a bug's-eye view of the habits and habitats of actual insects. Learn incredible facts from some amazing little creatures that will fascinate and inspire.
Children First!,(1996),"A collection of 7 animation short films inspired by the United Nations Convention on the Rights of the Child. Each NFB award-winning film, in their peculiar way, deals with children's rights and addresses various aspects of the Convention."
Rat-a-Tat: Doggy Don in Egypt,(2014),"Join Doggy Don, Colonel, and the Mice Brothers as they take on an exciting Egyptian adventure full of pyramids, mummies, and so much more."
Angiò,(2020),"Angiò the movie is a work that breathes life into the spirit of Lorenzo Viani, the artist. It is a film by director Leonardo Palmerini, who hails from Viareggio. It is an experimental film ... "
Os Trapalhões no Rabo do Cometa,(1986),"A journey back in time in the form of a cartoon with characterizations of the Trapalhões, from the time of the Roman Empire to the present day, through the Middle Ages, the Old West and the... "
The Jungle Book: Howl at the Moon,(2015),"Mowgli's on a mission to prove he's a real howling, prowling wolf. But a jealous cub and his creature co-horts will stop at nothing to keep him out of the pack!"
Fantasticherie di un passeggiatore solitario,(2014),"Three characters in three different ages are united by a dream of freedom and a small masterpiece of literature. A journey through the mysterious and timeless aspirations, sufferings and '... "
Santa World: Christmas Bedtime Stories,(2018),This Christmas fly through the north pole and into SANTALAND where Santa is ready to tell a cozy Christmas story to all his reindeer pals. Featuring classic Christmas tales including The ... 
Kung Fu Rooster,(2019),"A team of twelve must face a wicked monster, but their only hope lies with a boy and his mentor, a kung fu legend, who happens to be a rooster."
The Adventures of Oliver Twist,(1991),"An orphan named Oliver Twist meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master."
Origin: A Call to Minds,(2013),"Set in the same world as Archon Defender, this film follows the quest of a young woman, Desmerelle, as she confronts Lorem to free her twin sister Phaetra from the machine."
Rovelló. El carnaval de la Ventafocs,(2009),"Scruff wants to go to a carnival so badly, but can't because dogs aren't allowed."
The Wizard's Christmas,(2014),"In a faraway land a wizard's apprentice makes an amazing discovery that could bring back the lost magic of Christmas, or destroy it forever."
Burû rimein,(2001),A girl must save a planet from being destroyed by a disembodied brains' robotic army.
Too Outrageous Animation,(1995),"The sequel to 1988's Outrageous Animation anthology, Too Outrageous Animation is a compilation of 27 cartoon shorts from nine countries. According to executive producer Terry Thoren, its ... "
Ánima Buenos Aires,(2012),"The heart and soul of Buenos Aires, seen through four stories penned by Argentina's four most prominent graphic artists."
18th Annual Animation Show of Shows,(2016),"The ANIMATION SHOW OF SHOWS returns for its second year in theaters with 12 charming family-friendly films. Highlights include ""About a Mother,"" a new folktale with echoes of Shel ... "
Thomas & Friends: Marvelous Machinery: A New Arrival,(2020),"With a technology fair in Sodor, Thomas and the Steam Team tackle a flurry of tasks but can they complete their deliveries before the grand opening?"
Battle of Persian Gulf II,(2017),U.S Missile Strike to one of Iran Nuclear power plant Starts an Armed Conflict Between Iranian Revolutionary Guard and U.S. Navy in the Persian Gulf.
El lago del olvido,(2021),"In the romantic era, an aspiring writer falls in love with the daughter of a well-known novelist."
A Frozen Christmas Time 2,(2020),It's Christmas and all of Sunnyville is preparing for a wonderful holiday. Santa and his buddy Mittens the reindeer talk to everyone in town to learn about their favorite Christmas miracles... 
Viale della canzone,(1965),"More or less known singers interpret a series of songs, interspersed with humorous jokes expressed in animated drawings."
Wilbur's Conspiracy Theories: Project Stargate,(2020),The Stargate Project is one of the most talked-about conspiracy theories in the world. But what do we really know about it? Join us as we dive headlong into the facts with Wilbur's Conspiracy Theories: Project Stargate.
Svinedrengen og prinsessen på ærten,(1962),A young prince is looking for a princess. He disguises himself as a pig boy about seeking work with a king.
El ladrón de sueños,(2000),"The story about a little girl that travels into a magic portal she drew with a magic pencil and gets Into a world that is ruled By Grumo, a thief who steal the child's dreams across the portals created with the pencil."
How the Snowmen Ruined Christmas,(2020),One Christmas night.. thousands of evil snowmen.
"Deep Meaning aka: Neglect, Hate & Self Shame",(2017),"A young woman, suffering from loneliness, attempts to create a beautiful, meaningful opera with the help of her talking teddy bear."
The Best of L.A.A.F Volume 1,(2020),The most talented and creative professionals in the world of animation converge at the Los Angeles Animation Festival. This is a compilation of the award-winning films that had played in the festival in 2019.
Desterrada,(2014),"Ana's friends go to war, she waits for them in the city, surrounded by planes, missiles, and explosions."
The Hunchback Bee of Notre Dame,(2020),"When an evil bee starts a fire in Notre Dame, the ostracized Hunchback Bee of the cathedral comes to the rescue of his hive."
As Novas Aventuras da Turma da Mônica,(1986),"They are a total of 8 stories lived with the Monica group, which vary in a short time - only 2 or 8 minutes, and are stories that this time rely on the presence of elephant Jotalhão."
Quiqueck & Hämat: Proll Out,(2013),"Quiqueck & Hämat, two typical everyday aliens, are orbiting earth to observe mankind. One day the bad Prollians, one-eyed redneck-idiots from Outer Space, are attacking. An extraterrestrial battle breaks loose."
Saule brauca debesis,(2018),"During the joyous hubbub of dancing maskers, the Sun's and the Moon's baby girl is kidnapped. The distraught parents beg humans to retrieve her, so Nabasnieks set out on the journey to face monsters, temptations and their own fear."
The Fire,(1972),"4 men with complementing strengths - Ideas, matter, tools and discovery come together to create an invention. But then greed sets in, and the same invention that brought them together engulfs and annihilates them."
Adventures of Gustavas,(2014),"When the insatiable discoverer Gustav catches the travel bug, he decides to set out on a trip around the world to search for his uncle who had disappeared while flying his plane. Little ... "
Kitaro's Graveyard Gang 2,(2011),"Zombie boy Kitaro and his ghost and goblin friends, must stop an evil wizard from flooding Earth!"
Ta mort en short(s),(2018),"A program of six animated short films about death, filled with poetry, nostalgia or humor, to better understand it and accept it."
The Mind Machine,(2013),"A suspenseful, animated science fiction adventure tale that will appeal to all ages. The story begins in New York when Nick Wallace, a computer scientist, discovers a way to control ... "
Noah's Magic Ark,(2013),None of the other animals believes the friendly young koala that a dangerous flood is coming. But their ridicule will be proven wrong.
Krona 3 the Froggy Case,(2018),Detective Henry Chandler receives the most intriguing mission of his career: to investigate the history of the Froggy Invasion and find the Krona Crown.
A Beating Heart and Cracked Ceiling,(2013),"Sarah is a Christian woman, She tells about the time she almost fell in love. Sarah also reveals personal memories about loved ones. Sarah Woodland is a complicated woman whose story goes between past and present experiences."
"Mae-mil-ggot, un-su-jo-eun-nal, geu-ri-go bom-bom",(2014),"The Road Called Life is based on three famous Korean short stories. ""When the Buckwheat Flowers Bloom"" is about an aging market vendor, Heo who meets a young itinerant vendor, Dong-I, who ... "
"Valentina, la película",(2008),"Valentina and her friends are fun-loving, teenage girls. They shop, they have sleepovers and they dream about their first true love. When they decide to throw a spring bonfire party, they ... "
Deadstar the Movie,(2014),"Set in a distant universe, the main character, Harrison was a soldier in a rebellion against a galactic organization called Atlas. However, Harrison was dishonorably discharged after he ... "
My Heart Is an Octopus or My Father on the Shore of the Black Sea,(2016),"As a story structure, it reminds a postmodern novel: fragmented, plot-less and on first view: chaotic. Individual pieces can be rearranged and each one has its own life. In terms of genre, ... "
Ways and Means,(1970),The film is based on the novels of Lewis Carroll.
Little Red Car - Popular Songs,(2019),Watch this whole bunch of popular songs by the Little Red Car for kids. Hope you enjoy them.
Memento Civitas,(2018),Memento Civitas is an animated Stop Motion film that tells the story of a stuffed animal inside a world in which the problems of society are represented by extravagant characters and which ... 
Prazdnik neposlushaniya,(1977),"About that, how parents abandoned the disobedient children and returned only then, when they reformed."
Jubilej gospodina Ikla,(1955),"A man wakes up in his grave and realizes that he's been buried alive. He gets up and arrives home only to find out that his wife and relatives throw up a party instead of function, looking forward to his big inheritance."
Eiga Hâto kyacchi Purikyua! Hana no miyako de fasshon shô... desuka!?,(2010),"When a young cupcake becomes enraged at the round rolls, they start a war to see who will rule over our motherland Russia. But, when the pancakes intervene, things get sloppy. Sloppy Joes."
Iesodo: Believe,(2013),"A group of birds one by one travel to a Hill for a giant gathering where a special Bird, Iesodo, is said to speak. Iesodo is said to have all the answers, heal the sick, love the poor and ... "
Hi Jack,(2014),Ajay Chachu is visiting and Raju is happy. But a fighter plane with escaped terrorists lands on the air strip of Aryanagar and plan to hijack a plane. Raju appears as Mighty and is shocked ... 
Fist of the North Star: The Toki Saga,(2011),"Kenshiro must stop two martial arts masters who are brothers, Toki and Raul, from destroying each other."
Joë petit boum-boum,(1973),"Joe sees two boys attacking a bee hive. As thanks for his intervention, he gets stung by a bee, which makes him shrink down to their size, and he is allowed to spend some time with them. He... "
Beware the Eye of Amun-Ra,(2018),"The criminal underworld is buzzing with double-crosses, lies and greed as the prized jewel, The Eye of Amun-Ra, is passed around the city. Can our heroes find the diamond and could even ... "
Brainy Bubbly Bug Buddies 2,(2019),The Brainy Bubbly Bug Buddies are back! It's time to buzz into a spectacular insect-adventure with a bug's-eye view of the habits and habitats of actual insects. Learn incredible facts ... 
Tôfu kozô,(2011),"In Edo period Japan, yokai monster Tofu Kozo always balances a tofu on a tray or he will vanish into the air. One day, he is accidentally transported to the present modern day."
The Adventures of Flare,(2020),A human by the name Kyle falls into a liquid and becomes a superhero.
Yawara! Sore yuke koshinuke kizzu!,(1992),Yawara helps a group of timid grade school kids overcome their fears and compete in a judo competition.
St Paddy,(2021),"Meet Patrick, the cutest leprechaun you'll ever know on a mission to bring good luck and grant wishes to the whole world. But Goldie the Golden Goos teaches the little leprechaun that for ... "
Rage: The Movie,(2014),"Lui and his friends try to become rich and famous beyond there wildest dreams, but the only thing stopping them are celebrities."
TimeScapes,(2018),"An animated anthology of 5 stories about life, love and the landscapes of Singapore past and present."
The Substitutes,(2018),The Bible Bots are 2 rusty Bible scribes living in the rusty part of the far away planet Biblelonia. They send Bible scriptures to the Angels from Biblelonia visiting other planets ... 
Bru & Boegie: The Movie,(2019),"Bru and Boegie need to think big to get people to watch their shorts online, so they make South Africa's first full-length 2D animated movie."
